Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date,Captain
Pakistan,lost,124 runs,0,lost,2nd,South Africa,Mohali,10/27/2006,
Pakistan,won,124 runs,0,won,1st,New Zealand,Lahore,12/1/2003,
South Africa,won,124 runs,0,won,1st,Pakistan,Mohali,10/27/2006,
West Indies,won,124 runs,0,lost,1st,India,Kochi,10/8/2014,
Australia,won,125 runs,0,lost,1st,India,Johannesburg,3/23/2003,
Australia,won,125 runs,0,won,1st,England,Manchester,6/14/2001,
Australia,won,125 runs,0,won,1st,West Indies,Melbourne,2/19/2010,
England,lost,125 runs,0,lost,2nd,Australia,Manchester,6/14/2001,
India,lost,125 runs,0,won,2nd,Australia,Johannesburg,3/23/2003,
Pakistan,lost,125 runs,0,won,2nd,South Africa,Bloemfontein,3/10/2013,
South Africa,won,125 runs,0,lost,1st,Pakistan,Bloemfontein,3/10/2013,
West Indies,lost,125 runs,0,lost,2nd,Australia,Melbourne,2/19/2010,
England,lost,126 runs,0,lost,2nd,India,Hyderabad (Deccan),10/14/2011,
England,won,126 runs,0,lost,1st,South Africa,The Oval,8/29/2008,
India,won,126 runs,0,won,1st,England,Hyderabad (Deccan),10/14/2011,
Pakistan,won,126 runs,0,lost,1st,West Indies,Providence,7/14/2013,
South Africa,lost,126 runs,0,won,2nd,England,The Oval,8/29/2008,
West Indies,lost,126 runs,0,won,2nd,Pakistan,Providence,7/14/2013,
Australia,won,127 runs,0,won,1st,West Indies,Kuala Lumpur,9/24/2006,
England,lost,127 runs,0,lost,2nd,India,Kochi,1/15/2013,
India,won,127 runs,0,won,1st,England,Kochi,1/15/2013,
West Indies,lost,127 runs,0,lost,2nd,Australia,Kuala Lumpur,9/24/2006,
Australia,won,128 runs,0,won,1st,Sri Lanka,Sydney,2/8/2008,
England,won,128 runs,0,lost,1st,Sri Lanka,Perth,1/29/1999,
South Africa,lost,128 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),7/31/2013,
Sri Lanka,lost,128 runs,0,lost,2nd,Australia,Sydney,2/8/2008,
Sri Lanka,lost,128 runs,0,won,2nd,England,Perth,1/29/1999,
Sri Lanka,won,128 runs,0,won,1st,South Africa,Colombo (RPS),7/31/2013,
Pakistan,lost,129 runs,0,won,2nd,Sri Lanka,Karachi,1/21/2009,
Sri Lanka,won,129 runs,0,lost,1st,Pakistan,Karachi,1/21/2009,
Australia,lost,13 runs,0,lost,2nd,Sri Lanka,Melbourne,2/29/2008,
England,lost,13 runs,0,lost,2nd,New Zealand,The Oval,6/12/2015,Brendon McCullum (NZ)
England,lost,13 runs,0,lost,2nd,Pakistan,Rawalpindi,12/19/2005,
New Zealand,won,13 runs,0,lost,1st,Sri Lanka,Christchurch,2/11/2001,Stephen Fleming (NZ)
New Zealand,won,13 runs,0,won,1st,England,The Oval,6/12/2015,Brendon McCullum (NZ)
Pakistan,lost,13 runs,0,won,1st,South Africa,Faisalabad,10/7/2003,
Pakistan,won,13 runs,0,won,1st,England,Rawalpindi,12/19/2005,
South Africa,won,13 runs,0,lost,2nd,Pakistan,Faisalabad,10/7/2003,
Sri Lanka,lost,13 runs,0,won,2nd,New Zealand,Christchurch,2/11/2001,Stephen Fleming (NZ)
Sri Lanka,won,13 runs,0,won,1st,Australia,Melbourne,2/29/2008,
England,won,130 runs,0,won,1st,Pakistan,Abu Dhabi,2/13/2012,
India,won,130 runs,0,won,1st,South Africa,Melbourne,2/22/2015,
Pakistan,lost,130 runs,0,lost,2nd,England,Abu Dhabi,2/13/2012,
Pakistan,won,130 runs,0,won,1st,West Indies,Sharjah,10/14/1999,
South Africa,lost,130 runs,0,lost,2nd,India,Melbourne,2/22/2015,
West Indies,lost,130 runs,0,lost,2nd,Pakistan,Sharjah,10/14/1999,
Australia,won,131 runs,0,won,1st,New Zealand,Sydney,1/14/1998,Stephen Fleming (NZ)
New Zealand,lost,131 runs,0,lost,2nd,Australia,Sydney,1/14/1998,Stephen Fleming (NZ)
South Africa,won,131 runs,0,lost,1st,West Indies,Centurion,1/28/2015,
West Indies,lost,131 runs,0,won,2nd,South Africa,Centurion,1/28/2015,
Pakistan,lost,132 runs,0,won,2nd,South Africa,Durban,12/8/2002,
Pakistan,won,132 runs,0,won,1st,Sri Lanka,Colombo (RPS),8/9/2009,
South Africa,won,132 runs,0,lost,1st,Pakistan,Durban,12/8/2002,
South Africa,won,132 runs,0,lost,1st,West Indies,St George's,5/5/2001,
Sri Lanka,lost,132 runs,0,lost,2nd,Pakistan,Colombo (RPS),8/9/2009,
West Indies,lost,132 runs,0,won,2nd,South Africa,St George's,5/5/2001,
England,lost,133 runs,0,won,2nd,India,Cardiff,8/27/2014,
India,won,133 runs,0,lost,1st,England,Cardiff,8/27/2014,
Australia,won,134 runs,0,lost,1st,West Indies,Sydney,2/7/2001,
India,lost,134 runs,0,won,2nd,Pakistan,Toronto,9/19/1998,
India,lost,134 runs,0,won,2nd,South Africa,Durban,12/8/2013,
Pakistan,won,134 runs,0,lost,1st,India,Toronto,9/19/1998,
South Africa,won,134 runs,0,lost,1st,India,Durban,12/8/2013,
West Indies,lost,134 runs,0,won,2nd,Australia,Sydney,2/7/2001,
Australia,won,135 runs,0,won,1st,Pakistan,Perth,1/29/2010,
India,lost,135 runs,0,lost,2nd,South Africa,Durban,1/12/2011,
India,lost,135 runs,0,won,2nd,West Indies,Vijayawada,11/24/2002,
Pakistan,lost,135 runs,0,lost,2nd,Australia,Perth,1/29/2010,
Pakistan,won,135 runs,0,won,1st,Sri Lanka,Colombo (RPS),7/19/2015,
South Africa,won,135 runs,0,won,1st,India,Durban,1/12/2011,
Sri Lanka,lost,135 runs,0,lost,2nd,Pakistan,Colombo (RPS),7/19/2015,
West Indies,won,135 runs,0,lost,1st,India,Vijayawada,11/24/2002,
New Zealand,lost,138 runs,0,lost,2nd,Pakistan,Abu Dhabi,11/3/2009,Daniel Vettori (NZ)
New Zealand,won,138 runs,0,lost,1st,Pakistan,Christchurch,2/25/2001,Stephen Fleming (NZ)
Pakistan,lost,138 runs,0,won,2nd,New Zealand,Christchurch,2/25/2001,Stephen Fleming (NZ)
Pakistan,won,138 runs,0,won,1st,New Zealand,Abu Dhabi,11/3/2009,Daniel Vettori (NZ)
Pakistan,won,138 runs,0,won,1st,West Indies,Sharjah,10/19/1999,
West Indies,lost,138 runs,0,lost,2nd,Pakistan,Sharjah,10/19/1999,
India,lost,139 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),9/12/2009,
Sri Lanka,won,139 runs,0,won,1st,India,Colombo (RPS),9/12/2009,
Australia,lost,14 runs,0,won,2nd,West Indies,Brisbane,1/7/1996,
Australia,won,14 runs,0,won,1st,South Africa,Sydney,1/27/1998,
England,lost,14 runs,0,lost,2nd,South Africa,Birmingham,8/18/1998,
England,lost,14 runs,0,lost,2nd,South Africa,East London,1/19/1996,
England,won,14 runs,0,won,1st,New Zealand,Brisbane,2/6/2007,Stephen Fleming (NZ)
India,won,14 runs,0,lost,1st,West Indies,Nagpur,1/21/2007,
India,won,14 runs,0,won,1st,New Zealand,Gwalior,11/11/1999,Stephen Fleming (NZ)
New Zealand,lost,14 runs,0,lost,2nd,England,Brisbane,2/6/2007,Stephen Fleming (NZ)
New Zealand,lost,14 runs,0,lost,2nd,India,Gwalior,11/11/1999,Stephen Fleming (NZ)
New Zealand,lost,14 runs,0,won,1st,Sri Lanka,Pallekele,11/4/2012,Ross Taylor (NZ)
Pakistan,lost,14 runs,0,lost,2nd,South Africa,Lahore,10/29/2007,
South Africa,lost,14 runs,0,lost,2nd,Australia,Sydney,1/27/1998,
South Africa,won,14 runs,0,won,1st,England,Birmingham,8/18/1998,
South Africa,won,14 runs,0,won,1st,England,East London,1/19/1996,
South Africa,won,14 runs,0,won,1st,Pakistan,Lahore,10/29/2007,
Sri Lanka,won,14 runs,0,lost,2nd,New Zealand,Pallekele,11/4/2012,Ross Taylor (NZ)
West Indies,lost,14 runs,0,won,2nd,India,Nagpur,1/21/2007,
West Indies,won,14 runs,0,lost,1st,Australia,Brisbane,1/7/1996,
Australia,won,140 runs,0,lost,1st,Pakistan,Sydney,1/24/2010,
India,won,140 runs,0,won,1st,Pakistan,Dhaka,6/10/2008,
Pakistan,lost,140 runs,0,lost,2nd,India,Dhaka,6/10/2008,
Pakistan,lost,140 runs,0,won,2nd,Australia,Sydney,1/24/2010,
Australia,won,141 runs,0,won,1st,South Africa,Durban,4/3/2009,
India,lost,141 runs,0,won,2nd,South Africa,Johannesburg,12/5/2013,
Pakistan,won,141 runs,0,won,1st,South Africa,Durban,2/7/2007,
South Africa,lost,141 runs,0,lost,2nd,Australia,Durban,4/3/2009,
South Africa,lost,141 runs,0,lost,2nd,Pakistan,Durban,2/7/2007,
South Africa,won,141 runs,0,lost,1st,India,Johannesburg,12/5/2013,
Australia,won,142 runs,0,won,1st,Sri Lanka,Perth,12/22/2002,
Sri Lanka,lost,142 runs,0,lost,2nd,Australia,Perth,12/22/2002,
India,lost,143 runs,0,lost,2nd,Pakistan,Jaipur,3/24/1999,
New Zealand,lost,143 runs,0,lost,2nd,South Africa,Auckland,3/27/1999,Stephen Fleming (NZ)
New Zealand,won,143 runs,0,won,1st,West Indies,Wellington,3/21/2015,Brendon McCullum (NZ)
Pakistan,lost,143 runs,0,lost,2nd,South Africa,Sharjah,4/13/1996,
Pakistan,won,143 runs,0,won,1st,India,Jaipur,3/24/1999,
South Africa,won,143 runs,0,won,1st,New Zealand,Auckland,3/27/1999,Stephen Fleming (NZ)
South Africa,won,143 runs,0,won,1st,Pakistan,Sharjah,4/13/1996,
West Indies,lost,143 runs,0,lost,2nd,New Zealand,Wellington,3/21/2015,Brendon McCullum (NZ)
India,won,145 runs,0,won,1st,New Zealand,Hyderabad (Deccan),11/15/2003,
New Zealand,lost,145 runs,0,lost,2nd,India,Hyderabad (Deccan),11/15/2003,
Pakistan,won,146 runs,0,won,1st,Sri Lanka,Colombo (RPS),8/7/2009,
Sri Lanka,lost,146 runs,0,lost,2nd,Pakistan,Colombo (RPS),8/7/2009,
Australia,won,147 runs,0,lost,1st,New Zealand,Auckland,12/3/2005,Daniel Vettori (NZ)
India,won,147 runs,0,won,1st,Sri Lanka,Colombo (RPS),2/3/2009,
New Zealand,lost,147 runs,0,lost,2nd,Pakistan,Sharjah,12/14/2014,
New Zealand,lost,147 runs,0,won,2nd,Australia,Auckland,12/3/2005,Daniel Vettori (NZ)
Pakistan,won,147 runs,0,won,1st,New Zealand,Sharjah,12/14/2014,
Sri Lanka,lost,147 runs,0,lost,2nd,India,Colombo (RPS),2/3/2009,
South Africa,won,148 runs,0,lost,1st,West Indies,Johannesburg,1/18/2015,
West Indies,lost,148 runs,0,won,2nd,South Africa,Johannesburg,1/18/2015,
Australia,lost,15 runs,0,won,2nd,England,Lord's,6/29/2012,
Australia,won,15 runs,0,won,1st,Pakistan,Melbourne,1/23/2000,
Australia,won,15 runs,0,won,1st,South Africa,Durban,4/5/1997,
Australia,won,15 runs,0,won,1st,Sri Lanka,Brisbane,3/4/2012,
England,lost,15 runs,0,won,2nd,West Indies,North Sound,2/28/2014,
England,won,15 runs,0,lost,1st,Australia,Lord's,6/29/2012,
India,lost,15 runs,0,won,2nd,New Zealand,Hamilton,1/22/2014,Brendon McCullum (NZ)
India,won,15 runs,0,won,1st,New Zealand,Sharjah,4/17/1998,Stephen Fleming (NZ)
India,won,15 runs,0,won,1st,Sri Lanka,Colombo (RPS),1/31/2009,
New Zealand,lost,15 runs,0,lost,2nd,India,Sharjah,4/17/1998,Stephen Fleming (NZ)
New Zealand,won,15 runs,0,lost,1st,India,Hamilton,1/22/2014,Brendon McCullum (NZ)
Pakistan,lost,15 runs,0,lost,2nd,Australia,Melbourne,1/23/2000,
Pakistan,lost,15 runs,0,won,2nd,Sri Lanka,Colombo (RPS),7/14/1997,
Pakistan,won,15 runs,0,won,1st,West Indies,Toronto,9/16/1999,
South Africa,lost,15 runs,0,lost,2nd,Australia,Durban,4/5/1997,
Sri Lanka,lost,15 runs,0,lost,2nd,Australia,Brisbane,3/4/2012,
Sri Lanka,lost,15 runs,0,lost,2nd,India,Colombo (RPS),1/31/2009,
Sri Lanka,won,15 runs,0,lost,1st,Pakistan,Colombo (RPS),7/14/1997,
West Indies,lost,15 runs,0,lost,2nd,Pakistan,Toronto,9/16/1999,
West Indies,won,15 runs,0,lost,1st,England,North Sound,2/28/2014,
Pakistan,lost,150 runs,0,won,2nd,West Indies,Christchurch,2/21/2015,
West Indies,won,150 runs,0,lost,1st,Pakistan,Christchurch,2/21/2015,
Australia,won,152 runs,0,won,1st,India,Adelaide,1/26/2000,
Australia,won,152 runs,0,won,1st,Pakistan,Sydney,2/4/2000,
India,lost,152 runs,0,lost,2nd,Australia,Adelaide,1/26/2000,
India,won,152 runs,0,won,1st,Sri Lanka,Nagpur,10/25/2005,
Pakistan,lost,152 runs,0,lost,2nd,Australia,Sydney,2/4/2000,
Sri Lanka,lost,152 runs,0,lost,2nd,India,Nagpur,10/25/2005,
India,won,153 runs,0,won,1st,South Africa,Dhaka,4/13/2003,
India,won,153 runs,0,won,1st,South Africa,Gwalior,2/24/2010,
India,won,153 runs,0,won,1st,Sri Lanka,Kolkata,11/13/2014,
India,won,153 runs,0,won,1st,West Indies,Indore,12/8/2011,
New Zealand,lost,153 runs,0,lost,2nd,Pakistan,Karachi,4/21/2002,Stephen Fleming (NZ)
Pakistan,won,153 runs,0,won,1st,New Zealand,Karachi,4/21/2002,
South Africa,lost,153 runs,0,lost,2nd,India,Dhaka,4/13/2003,
South Africa,lost,153 runs,0,lost,2nd,India,Gwalior,2/24/2010,
Sri Lanka,lost,153 runs,0,lost,2nd,India,Kolkata,11/13/2014,
West Indies,lost,153 runs,0,lost,2nd,India,Indore,12/8/2011,
England,lost,155 runs,0,won,2nd,New Zealand,Wellington,2/16/2002,Stephen Fleming (NZ)
New Zealand,won,155 runs,0,lost,1st,England,Wellington,2/16/2002,Stephen Fleming (NZ)
England,lost,157 runs,0,won,2nd,Sri Lanka,Chester-le-Street,5/25/2014,
India,lost,157 runs,0,lost,2nd,South Africa,Durban,11/22/2006,
India,won,157 runs,0,lost,1st,Sri Lanka,Taunton,5/26/1999,
South Africa,won,157 runs,0,won,1st,India,Durban,11/22/2006,
Sri Lanka,lost,157 runs,0,won,2nd,India,Taunton,5/26/1999,
Sri Lanka,won,157 runs,0,lost,1st,England,Chester-le-Street,5/25/2014,
England,lost,158 runs,0,won,2nd,India,Rajkot,11/14/2008,
India,won,158 runs,0,lost,1st,England,Rajkot,11/14/2008,
India,lost,159 runs,0,lost,2nd,Pakistan,Delhi,4/17/2005,
New Zealand,won,159 runs,0,lost,1st,West Indies,Queenstown,1/1/2014,Brendon McCullum (NZ)
Pakistan,won,159 runs,0,won,1st,India,Delhi,4/17/2005,
West Indies,lost,159 runs,0,won,2nd,New Zealand,Queenstown,1/1/2014,Brendon McCullum (NZ)
Australia,won,16 runs,0,lost,1st,Sri Lanka,Adelaide,3/8/2012,
Australia,won,16 runs,0,won,1st,England,Adelaide,1/26/1999,
Australia,won,16 runs,0,won,1st,India,Mumbai,2/27/1996,
England,lost,16 runs,0,lost,2nd,Australia,Adelaide,1/26/1999,
England,lost,16 runs,0,won,1st,India,Kanpur,11/20/2008,
England,won,16 runs,0,lost,1st,India,Cuttack,1/22/2002,
England,won,16 runs,0,lost,1st,West Indies,Bridgetown,3/29/1998,
England,won,16 runs,0,won,1st,Sri Lanka,Manchester,7/9/2011,
India,lost,16 runs,0,lost,2nd,Australia,Mumbai,2/27/1996,
India,lost,16 runs,0,won,2nd,England,Cuttack,1/22/2002,
India,lost,16 runs,0,won,2nd,West Indies,Ahmedabad,12/5/2011,
India,lost,16 runs,0,won,2nd,West Indies,Harare,7/7/2001,
India,won,16 runs,0,lost,2nd,England,Kanpur,11/20/2008,
India,won,16 runs,0,won,1st,West Indies,Kuala Lumpur,9/20/2006,
New Zealand,lost,16 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),7/18/2001,Stephen Fleming (NZ)
Pakistan,lost,16 runs,0,lost,2nd,Sri Lanka,Dambulla,6/15/2010,
Pakistan,won,16 runs,0,won,1st,South Africa,Sharjah,3/31/2000,
Pakistan,won,16 runs,0,won,1st,Sri Lanka,Sharjah,4/8/2001,
South Africa,lost,16 runs,0,lost,2nd,Pakistan,Sharjah,3/31/2000,
South Africa,won,16 runs,0,won,1st,West Indies,Port Elizabeth,1/28/2004,
Sri Lanka,lost,16 runs,0,lost,2nd,England,Manchester,7/9/2011,
Sri Lanka,lost,16 runs,0,lost,2nd,Pakistan,Sharjah,4/8/2001,
Sri Lanka,lost,16 runs,0,won,2nd,Australia,Adelaide,3/8/2012,
Sri Lanka,won,16 runs,0,lost,1st,West Indies,Perth,1/14/1996,
Sri Lanka,won,16 runs,0,won,1st,New Zealand,Colombo (RPS),7/18/2001,Stephen Fleming (NZ)
Sri Lanka,won,16 runs,0,won,1st,Pakistan,Dambulla,6/15/2010,
West Indies,lost,16 runs,0,lost,2nd,India,Kuala Lumpur,9/20/2006,
West Indies,lost,16 runs,0,lost,2nd,South Africa,Port Elizabeth,1/28/2004,
West Indies,lost,16 runs,0,won,2nd,England,Bridgetown,3/29/1998,
West Indies,lost,16 runs,0,won,2nd,Sri Lanka,Perth,1/14/1996,
West Indies,won,16 runs,0,lost,1st,India,Ahmedabad,12/5/2011,
West Indies,won,16 runs,0,lost,1st,India,Harare,7/7/2001,
India,won,160 runs,0,lost,1st,West Indies,Vadodara,1/31/2007,
West Indies,lost,160 runs,0,won,2nd,India,Vadodara,1/31/2007,
India,lost,161 runs,0,won,2nd,Sri Lanka,Kingston,7/2/2013,
Sri Lanka,won,161 runs,0,lost,1st,India,Kingston,7/2/2013,
Australia,won,162 runs,0,won,1st,England,Melbourne,2/13/1999,
England,lost,162 runs,0,lost,2nd,Australia,Melbourne,2/13/1999,
Australia,won,164 runs,0,won,1st,New Zealand,Colombo (SSC),9/15/2002,Stephen Fleming (NZ)
New Zealand,lost,164 runs,0,lost,2nd,Australia,Colombo (SSC),9/15/2002,Stephen Fleming (NZ)
Pakistan,lost,164 runs,0,won,2nd,South Africa,Centurion,2/4/2007,
South Africa,won,164 runs,0,lost,1st,Pakistan,Centurion,2/4/2007,
England,lost,165 runs,0,won,2nd,Pakistan,Karachi,12/15/2005,
Pakistan,lost,165 runs,0,lost,2nd,Sri Lanka,Hambantota,7/26/2015,
Pakistan,won,165 runs,0,lost,1st,England,Karachi,12/15/2005,
Sri Lanka,won,165 runs,0,won,1st,Pakistan,Hambantota,7/26/2015,
Australia,won,167 runs,0,won,1st,Sri Lanka,Sydney,2/12/2006,
Sri Lanka,lost,167 runs,0,lost,2nd,Australia,Sydney,2/12/2006,
Australia,won,169 runs,0,won,1st,West Indies,Basseterre,7/6/2008,
India,won,169 runs,0,lost,1st,Sri Lanka,Cuttack,11/2/2014,
Sri Lanka,lost,169 runs,0,won,2nd,India,Cuttack,11/2/2014,
West Indies,lost,169 runs,0,lost,2nd,Australia,Basseterre,7/6/2008,
Australia,won,17 runs,0,lost,1st,West Indies,Melbourne,2/10/2013,
Australia,won,17 runs,0,won,1st,New Zealand,Sydney,12/8/2004,Stephen Fleming (NZ)
Australia,won,17 runs,0,won,1st,Pakistan,Amstelveen,8/28/2004,
India,lost,17 runs,0,lost,2nd,South Africa,Durban,2/13/1997,
New Zealand,lost,17 runs,0,lost,2nd,Australia,Sydney,12/8/2004,Stephen Fleming (NZ)
Pakistan,lost,17 runs,0,lost,2nd,Australia,Amstelveen,8/28/2004,
Pakistan,lost,17 runs,0,lost,2nd,West Indies,St George's,4/16/2000,
Pakistan,won,17 runs,0,won,1st,West Indies,Bridgetown,4/19/2000,
South Africa,lost,17 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),7/23/2013,
South Africa,won,17 runs,0,won,1st,India,Durban,2/13/1997,
South Africa,won,17 runs,0,won,1st,West Indies,North Sound,5/24/2010,
Sri Lanka,won,17 runs,0,won,1st,South Africa,Colombo (RPS),7/23/2013,
West Indies,lost,17 runs,0,lost,2nd,Pakistan,Bridgetown,4/19/2000,
West Indies,lost,17 runs,0,lost,2nd,South Africa,North Sound,5/24/2010,
West Indies,lost,17 runs,0,won,2nd,Australia,Melbourne,2/10/2013,
West Indies,won,17 runs,0,won,1st,Pakistan,St George's,4/16/2000,
India,won,174 runs,0,won,1st,New Zealand,Hyderabad (Deccan),11/8/1999,Stephen Fleming (NZ)
New Zealand,lost,174 runs,0,lost,2nd,India,Hyderabad (Deccan),11/8/1999,Stephen Fleming (NZ)
South Africa,won,177 runs,0,won,1st,Sri Lanka,Centurion,11/29/2002,
Sri Lanka,lost,177 runs,0,lost,2nd,South Africa,Centurion,11/29/2002,
Australia,won,18 runs,0,lost,1st,Sri Lanka,Melbourne,1/18/1996,
Australia,won,18 runs,0,won,1st,India,Kuala Lumpur,9/22/2006,
Australia,won,18 runs,0,won,1st,India,Melbourne,1/9/2004,
Australia,won,18 runs,0,won,1st,India,Nagpur,10/14/2007,
Australia,won,18 runs,0,won,1st,India,Sydney,2/24/2008,
Australia,won,18 runs,0,won,1st,Pakistan,Melbourne,2/4/2005,
England,won,18 runs,0,won,1st,West Indies,Chennai,3/17/2011,
India,lost,18 runs,0,lost,2nd,Australia,Kuala Lumpur,9/22/2006,
India,lost,18 runs,0,lost,2nd,Australia,Melbourne,1/9/2004,
India,lost,18 runs,0,lost,2nd,Australia,Nagpur,10/14/2007,
India,lost,18 runs,0,lost,2nd,Australia,Sydney,2/24/2008,
India,lost,18 runs,0,lost,2nd,South Africa,Rajkot,10/18/2015,
India,lost,18 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),8/9/2005,
India,lost,18 runs,0,won,2nd,West Indies,Kingstown,4/30/1997,
India,won,18 runs,0,lost,1st,Pakistan,Dhaka,1/11/1998,
Pakistan,lost,18 runs,0,lost,2nd,Australia,Melbourne,2/4/2005,
Pakistan,lost,18 runs,0,lost,2nd,South Africa,Colombo (RPS),7/8/2000,
Pakistan,lost,18 runs,0,won,2nd,India,Dhaka,1/11/1998,
South Africa,won,18 runs,0,won,1st,India,Rajkot,10/18/2015,
South Africa,won,18 runs,0,won,1st,Pakistan,Colombo (RPS),7/8/2000,
Sri Lanka,lost,18 runs,0,won,2nd,Australia,Melbourne,1/18/1996,
Sri Lanka,won,18 runs,0,won,1st,India,Colombo (RPS),8/9/2005,
West Indies,lost,18 runs,0,lost,2nd,England,Chennai,3/17/2011,
West Indies,won,18 runs,0,lost,1st,India,Kingstown,4/30/1997,
South Africa,lost,180 runs,0,won,2nd,Sri Lanka,Colombo (RPS),7/20/2013,
Sri Lanka,won,180 runs,0,lost,1st,South Africa,Colombo (RPS),7/20/2013,
Pakistan,won,182 runs,0,won,1st,South Africa,Port Elizabeth,12/11/2002,
South Africa,lost,182 runs,0,lost,2nd,Pakistan,Port Elizabeth,12/11/2002,
India,won,183 runs,0,lost,1st,Sri Lanka,Johannesburg,3/10/2003,
Sri Lanka,lost,183 runs,0,won,2nd,India,Johannesburg,3/10/2003,
New Zealand,lost,189 runs,0,lost,2nd,Sri Lanka,Auckland,1/6/2007,Stephen Fleming (NZ)
Sri Lanka,won,189 runs,0,won,1st,New Zealand,Auckland,1/6/2007,Stephen Fleming (NZ)
Australia,lost,19 runs,0,lost,2nd,India,Brisbane,1/18/2004,
Australia,won,19 runs,0,won,1st,South Africa,Johannesburg,3/22/2002,
England,lost,19 runs,0,won,2nd,India,Bangalore,11/23/2008,
England,won,19 runs,0,won,1st,Sri Lanka,Adelaide,1/17/2003,
India,lost,19 runs,0,won,2nd,West Indies,Port of Spain,5/28/2006,
India,won,19 runs,0,lost,1st,England,Bangalore,11/23/2008,
India,won,19 runs,0,won,1st,Australia,Brisbane,1/18/2004,
New Zealand,lost,19 runs,0,lost,2nd,South Africa,Cape Town,10/28/2005,Stephen Fleming (NZ)
Pakistan,lost,19 runs,0,won,2nd,Sri Lanka,Sharjah,4/4/1997,
South Africa,lost,19 runs,0,lost,2nd,Australia,Johannesburg,3/22/2002,
South Africa,lost,19 runs,0,lost,2nd,West Indies,Karachi,3/11/1996,
South Africa,won,19 runs,0,won,1st,New Zealand,Cape Town,10/28/2005,Stephen Fleming (NZ)
Sri Lanka,lost,19 runs,0,lost,2nd,England,Adelaide,1/17/2003,
Sri Lanka,won,19 runs,0,lost,1st,Pakistan,Sharjah,4/4/1997,
Sri Lanka,won,19 runs,0,won,2nd,West Indies,Pallekele,11/7/2015,
West Indies,lost,19 runs,0,lost,1st,Sri Lanka,Pallekele,11/7/2015,
West Indies,won,19 runs,0,lost,1st,India,Port of Spain,5/28/2006,
West Indies,won,19 runs,0,won,1st,South Africa,Karachi,3/11/1996,
Australia,lost,196 runs,0,lost,2nd,South Africa,Cape Town,3/3/2006,
South Africa,won,196 runs,0,won,1st,Australia,Cape Town,3/3/2006,
Australia,won,2 runs,0,lost,1st,West Indies,Kingston,5/17/2003,
Australia,won,2 runs,0,won,1st,New Zealand,Wellington,12/7/2005,Daniel Vettori (NZ)
England,lost,2 runs,0,won,2nd,Pakistan,Lord's,6/12/2001,
England,lost,2 runs,0,won,2nd,Sri Lanka,North Sound,4/4/2007,
England,won,2 runs,0,lost,1st,India,Delhi,1/31/2002,
India,lost,2 runs,0,won,2nd,England,Delhi,1/31/2002,
India,lost,2 runs,0,won,2nd,Sri Lanka,Colombo (RPS),8/17/1997,
New Zealand,lost,2 runs,0,lost,2nd,Australia,Wellington,12/7/2005,Daniel Vettori (NZ)
New Zealand,lost,2 runs,0,lost,2nd,South Africa,Brisbane,1/9/1998,Stephen Fleming (NZ)
New Zealand,won,2 runs,0,lost,1st,South Africa,Auckland,2/29/2004,Stephen Fleming (NZ)
Pakistan,lost,2 runs,0,won,2nd,South Africa,Dubai (DSC),11/2/2010,
Pakistan,won,2 runs,0,lost,1st,England,Lord's,6/12/2001,
South Africa,lost,2 runs,0,won,2nd,New Zealand,Auckland,2/29/2004,Stephen Fleming (NZ)
South Africa,won,2 runs,0,lost,1st,Pakistan,Dubai (DSC),11/2/2010,
South Africa,won,2 runs,0,won,1st,New Zealand,Brisbane,1/9/1998,Stephen Fleming (NZ)
Sri Lanka,won,2 runs,0,lost,1st,England,North Sound,4/4/2007,
Sri Lanka,won,2 runs,0,lost,1st,India,Colombo (RPS),8/17/1997,
West Indies,lost,2 runs,0,won,2nd,Australia,Kingston,5/17/2003,
Australia,lost,2 wickets,0,won,1st,New Zealand,Perth,2/1/2009,Daniel Vettori (NZ)
Australia,won,2 wickets,0,won,2nd,Pakistan,Centurion,9/30/2009,
India,lost,2 wickets,0,won,1st,Pakistan,Brisbane,1/10/2000,
New Zealand,lost,2 wickets,0,lost,1st,South Africa,Durban,11/25/2007,Daniel Vettori (NZ)
New Zealand,lost,2 wickets,0,lost,1st,South Africa,Napier,3/26/1999,Stephen Fleming (NZ)
New Zealand,won,2 wickets,0,lost,2nd,Australia,Perth,2/1/2009,Daniel Vettori (NZ)
Pakistan,lost,2 wickets,0,lost,1st,Australia,Centurion,9/30/2009,
Pakistan,won,2 wickets,0,lost,2nd,India,Brisbane,1/10/2000,
South Africa,won,2 wickets,0,won,2nd,New Zealand,Durban,11/25/2007,Daniel Vettori (NZ)
